kind,name,id,street,house_number,city,zipcode
government_office,"המשרד לקליטת עליה/אגף נתב""ג",500102728,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/אגף תכנון ומחק,500102710,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/גף מידע ופרסום,500102694,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/המחלקה לקליטה,500102678,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/המחלקה לתושבים,500102702,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/המשרד הראשי,500102637,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/מחלקת אולפנים,500102686,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/מינהל הסטודנטי,500102660,קפלן,1,ירושלים,9195015
government_office,המשרד לקליטת עליה/מרכז לקליטה במ,500102652,קפלן,1,ירושלים,9195015
government_office,הקרן הפנימית לביטוחי הממשלה,500103510,יעבץ,33,תל אביב -יפו,6525832
government_office,הרשות הממשלתית למים ולביוב,500101753,המסגר,14,תל אביב -יפו,6777663
government_office,כנסת ישראל/ועדת בחירות/חשבות,500105606,משכן הכנסת גבעת רם,,ירושלים,0
government_office,כנסת ישראל/חשבות,500105507,גבעת רם,,ירושלים,0
government_office,כנסת ישראל/מרכז המחקר והמידע,500107081,קפלן,,ירושלים,9195000
government_office,מבקר המדינה/המשרד הראשי,500103262,משה פשיגודה,,ירושלים,0
government_office,מבקר המדינה/חטיבת האיגודים,500103296,"רש""י",,ירושלים,9439100
government_office,מבקר המדינה/חטיבת הרשויות המקומי,500103304,"רש""י",,ירושלים,9439100
government_office,מבקר המדינה/חטיבת מערכת הביטחון,500103288,"רש""י",,ירושלים,9439100
government_office,מבקר המדינה/חטיבת משרדי הממשלה,500103270,"רש""י",,ירושלים,9439100
government_office,מ.תשתיות/רשות המים/קרן לחידוש וש,500106711,שד' רוטשילד,8,תל אביב -יפו,6688111
government_office,מינהל מקרקעי ישראל/אגף בעלות ורי,500101795,יפו,6,ירושלים,9438300
government_office,"מינהל מקרקעי ישראל/אגף מידע, שלי",500101811,יפו,6,ירושלים,9438300
government_office,מינהל מקרקעי ישראל/אגף תכנון ופי,500101803,יפו,6,ירושלים,9438300
government_office,מינהל מקרקעי ישראל/האגף החקלאי,500101787,יפו,6,ירושלים,9438300
government_office,מינהל מקרקעי ישראל/האגף העירוני,500101779,יפו,6,ירושלים,9438300
government_office,מינהל מקרקעי ישראל/המשרד הראשי,500101761,שמאי,6,ירושלים,9463106
government_office,"מרכז גריאטרי מלב""ן (ראשל""צ)",500107461,רמז,95,ראשון לציון,7524011
government_office,מרכז רפואי לבריאות הנפש מעלה הכר,500107503,האלה,17,טירת כרמל,3911917
government_office,"משטרת ישראל-אגף התנועה/את""ן",500104971,אגף התנועה,,בית דגן,5020000
government_office,משטרת ישראל-אגף חקירות מודיעין/א,500101969,חיים בר לב,,ירושלים,0
government_office,משטרת ישראל-אגף לתמיכה לוגיסטי/א,500101977,חיים בר לב,,ירושלים,0
government_office,"משטרת ישראל-אגף מבצעים/אג""מ",500101951,חיים בר לב,,ירושלים,0
government_office,"משטרת ישראל-אגף משאבי אנוש/אמ""ש",500101985,חיים בר לב,,ירושלים,0
government_office,"משטרת ישראל-אגף משמר הגבול(מג""ב)",500102017,החשמונאים,8,לוד,7120828
government_office,"משטרת ישראל-אגף תכנון ארגון/אג""ת",500101993,חיים בר לב,,ירושלים,0
government_office,משטרת ישראל-חשבות,500104567,חיים בר לב-המטה האר,,ירושלים,0
government_office,משטרת ישראל-חשבות/קנטינות,500105044,חיים בר לב,,ירושלים,0
government_office,"משטרת ישראל-לשכת אח""מ/לה""ב 433",500106760,לב פסח_א.ת. צפוני,1,פארק אפק-לוד,0
government_office,"משטרת ישראל-לשכת המפכ""ל",500106778,חיים בר לב,,ירושלים,0
government_office,משטרת ישראל-מחוז דרום,500104997,שד טוביהו דוד,5,באר שבע,8424306
government_office,משטרת ישראל-מחוז חוף,500107115,אלבז נתן,1,חיפה,3262251
government_office,משטרת ישראל-מחוז ירושלים,500104930,חשין,1,ירושלים,9515600
government_office,משטרת ישראל-מחוז מרכז,500104963,שד הרצל,80,רמלה,7240650
government_office,משטרת ישראל-מחוז צפון,500105002,כביש ציפורי,1,נצרת,0
government_office,"משטרת ישראל-מחוז ש""י",500104948,מבשרת אדומים 1ו,,מעלה אדומים,0
government_office,"משטרת ישראל-מחוז ת""א",500104955,דרך שלמה,18,תל אביב -יפו,6811128
government_office,משטרת ישראל-מטה ארצי,500101944,חיים בר-לב,,ירושלים,0
government_office,משטרת ישראל-מ.תחבורה-מדור תובלה,500107149,"בסיס מג""ב",,בית חורון,0
government_office,"משטרת ישראל-משמר האזרחי/אק""מ",500102009,חיים בר לב,,ירושלים,0
government_office,"משטרת ישראל-שירות בתי הסוהר-שב""ס",500105010,תא דואר 00081,,רמלה,7210002
government_office,משטרת ישראל/ מינהלת הגירה,500104989,שד' הרצל,91,רמלה,7243003
government_office,"משרד אזרחים ותיקים/רשות שא""ל",500107354,קלרמון גאנו,,ירושלים,0
government_office,משרד האוצר/אגף החשב הכללי,500100136,קפלן,1,ירושלים,9195015
government_office,"משרד האוצר/אגף החשב הכללי - ת""א",500104864,הקריה,31,תל אביב -יפו,6107000
government_office,משרד האוצר/אגף החשב הכללי/תהילה,500106216,קפלן,1,ירושלים,9195015
government_office,"משרד האוצר/אגף המכס ומע""מ",500100169,"בנק ישראל,בנין ג'נר",5,ירושלים,0
government_office,משרד האוצר/אגף התקציבים,500100128,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/אגף מס הכנסה ומס רכוש,500100151,כנפי נשרים,5,ירושלים,9546457
government_office,משרד האוצר/אגף נכסי נפקדים,500105028,יואל משה סלומון,8,ירושלים,9463308
government_office,משרד האוצר/האגף לקשרים בינלאומים,500100201,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/הדיור הממשלתי/חשבות,500105994,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/היחידה לשכר והסכמים,500100193,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/הלשכה לענייני זרים,500107222,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/הלשכה לעניני פיצויים,500100243,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/הלשכה לשיקום נכים,500100235,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/הלשכה לשיקום נפגעים,500107214,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/המדפיס הממשלתי,500100250,מרים החשמונאית,1,ירושלים,9355801
government_office,משרד האוצר/המדפיס הממשלתי/חשבות,500105853,מרים החשמונאית,1,ירושלים,9355801
government_office,משרד האוצר/הממונה על הביקורת,500100227,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/המרכז לפיצויים סוצילי,500107230,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/המשרד הראשי,500100110,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/חשבות,500105531,הקריה-קפלן,1,ירושלים,0
government_office,משרד האוצר/לישכה לשיקום נכים/חשב,500105978,קפלן,3,ירושלים,9195017
government_office,"משרד האוצר/מדינת ישראל/משלו""ג",500107370,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/מינהל גימלאות/חשב,500105796,יפו בנין התחנה המרכ,224,ירושלים,0
government_office,משרד האוצר/מינהל הכנסות המדינה,500100144,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/מינהל הרכב הממשלתי,500100276,קלוזנר,20,רמלה,7243233
government_office,משרד האוצר/מינהל התכנון,500102579,קפלן,1,ירושלים,9195016
government_office,משרד האוצר/מנהל הגמלאות,500104880,יפו,224,ירושלים,9438311
government_office,משרד האוצר/מנהל הרכב הממשלתי/חשב,500106000,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/מנהל מוסכי חוץ,500107255,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/מנהל שרות לוגיסטי,500107248,קפלן,1,ירושלים,9195015
government_office,משרד האוצר/סוכנות נסיעות ממשלתית,500107321,הערבה,3,"נתב""ג",0
government_office,"משרד האוצר/שע""ם",500100177,פועלי צדק,4,ירושלים,9342222
government_office,משרד האנרגיה,500100292,יפו,216,ירושלים,9438307
government_office,"משרד האנרגיה והמים/מע""צ",500100896,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הביטחון / די.או.די,500106844,קפלן,23,תל אביב -יפו,6473424
government_office,"משרד הביטחון/אגף אמרכלות, משק",500100565,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/אגף הבינוי,500100524,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/אגף הכספים (אכ""ס)",500100581,קפלן,1,תל אביב -יפו,6473402
government_office,משרד הביטחון/אגף הכספים/משכורות,500104856,קפלן,31,תל אביב -יפו,6473432
government_office,"משרד הביטחון/אגף הנוער והנח""ל",500100490,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/אגף השיקום,500100557,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/אגף התקציבים (את""ק)",500100573,קפלן,1,תל אביב -יפו,6473402
government_office,משרד הביטחון/אגף כספים פוטו וולט,500100599,קפלן,1,תל אביב -יפו,6473402
government_office,"משרד הביטחון/אגף מיחשוב (מל""ן)",500104690,קפלן,1,תל אביב -יפו,6473402
government_office,משרד הביטחון/אגף משאבי אנוש,500100607,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/איו""ש-סילוקין/חשבות",500105630,תא דואר 00008,,בית אל,9063101
government_office,"משרד הביטחון/ארכיון צה""ל ומשהב""ט",500100623,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/האגף לסיוע ויצוא,500100532,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/האחראי לפניות הציבו,500100656,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/ההוצאה לאור, משהב""ט",500100615,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/היחידה לתיעוד ומחקר,500100631,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/חטיבת מכירות,500100540,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/חשבות,500105614,הקריה-קפלן,,תל אביב,0
government_office,משרד הביטחון/יחידת המוזיאונים,500100649,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/מבקר מערכת הביטחון,500100474,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/מינהל ההרכשה והיצור,500100508,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/מינהל המחקר, פיתוח",500100516,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/מנת""ק",500107032,קפלן,23,תל אביב -יפו,6473424
government_office,"משרד הביטחון/משב""ח",500104831,תא דואר 07307,,תל אביב -יפו,6107201
government_office,משרד הביטחון/משק לשעת חרום,500100466,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/מתאם הפעולות בלבנון,500100458,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/מתאם הפעולות בשטחים,500100441,קפלן,1,תל אביב -יפו,6473402
government_office,"משרד הביטחון/מת""ק ארז",500104740,מחסום ארז,1,אשקלון,0
government_office,"משרד הביטחון/מת""ק יו""ש",500104633,תא דואר 00008,,בית אל,9063101
government_office,"משרד הביטחון/מ""ד",500107123,תא דואר 07199,,תל אביב -יפו,6107121
government_office,משרד הביטחון/נציב קבילות חיילים,500100482,קפלן,,תל אביב -יפו,6473400
government_office,"משרד הביטחון/רפא""ל",500100664,קפלן,,תל אביב -יפו,6473400
government_office,משרד הביטחון/רשות מעברים יבשתיים,500107065,המלאכה,21,ראש העין,4809157
government_office,משרד הביטחון/50,500107131,תא דואר 02358,,באר שבע,8412315
government_office,משרד הבינוי והשיכון/אגף איכלוס,500100847,שיח ג'ראח,,ירושלים,9720000
government_office,משרד הבינוי והשיכון/אגף הכספים,500100870,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי והשיכון/אגף הפרוגרמו,500100813,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי והשיכון/אגף נכסים וצ,500100805,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי והשיכון/המשרד הראשי,500100797,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי והשיכון/חשבות,500105705,הקריה-שייך ג'ארח,,ירושלים,0
government_office,משרד הבינוי והשיכון/מנהלת התנופה,500106133,קלרמון ג'נו שייח ג',3,ירושלים,0
government_office,משרד הבינוי/האגף לתכנון ובינוי ע,500100821,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי/האגף לתכנון והנדסה,500100839,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי/היחידה לעיבוד נתונים,500100862,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי/המינהל לבניה כפרית,500100888,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי/המרכז למידע וניתוח,500100854,"קרית הממשלה, מזרח י",,ירושלים,0
government_office,משרד הבינוי/מיפוי ישראל/חשבות,500105697,לינקולין,1,תל אביב,0
government_office,משרד הבינוי/מקרקעי ישראל/חשבות,500105515,שמאי,6,ירושלים,9463106
government_office,משרד הבינוי/עבודות ציבוריות/חשב,500105838,קלרמון גנו-שייך גאר,,ירושלים,0
government_office,"משרד הבריאות/בי""ח איכילוב",500106919,ויצמן,6,תל אביב -יפו,6423906
government_office,"משרד הבריאות/בי""ח הממשלתי רמב""ם",500107040,העליה השניה,8,חיפה,3525408
government_office,"משרד הבריאות/בי""ח לחולי נפש באר",500104849,,,באר יעקב,7030000
government_office,"משרד הבריאות/בי""ח ממשלתי נס ציונ",500104781,תא דואר 00001,,נס ציונה,7410001
government_office,"משרד הבריאות/בי""ח פרדס חנה",500106968,הנדיב,,פרדס חנה-כרכור,3707100
government_office,"משרד הבריאות/בי""ח פרדסיה",500106984,השיבולים,,צור משה,4281000
government_office,"משרד הבריאות/גזברות איזורית ת""א",500106208,דרך בן צבי,67,תל אביב -יפו,6810414
government_office,משרד הבריאות/המחלקה לתזונה,500100961,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/המכון הרפואי לבטיחו,500100953,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/המכון לביקורת ולתקנ,500100979,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/המרכז הרפואי לגליל,500104559,כביש נהריה מעונה,,נהרייה,0
government_office,משרד הבריאות/המשרד הראשי,500100904,ירמיהו,39,ירושלים,9446724
government_office,משרד הבריאות/השירות לבריאות הצבו,500100946,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/השירותים בחולה הכרו,500100920,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/חשבות,500105663,בן טבאי,2,ירושלים,9359102
government_office,משרד הבריאות/מחוז דרום,500106927,התקוה,4,באר שבע,8489312
government_office,משרד הבריאות/מחוז חיפה,500106950,"שד הפלי""ם        שד",15,חיפה,0
government_office,משרד הבריאות/מחוז ירושלים,500106877,יפו,86,ירושלים,9434124
government_office,משרד הבריאות/מחוז מרכז,500106935,שד הרצל,91,רמלה,7243003
government_office,משרד הבריאות/מחוז צפון,500106869,המלאכה,3,נצרת עילית,1767303
government_office,"משרד הבריאות/מחוז ת""א",500106943,הארבעה,12,תל אביב -יפו,6473912
government_office,"משרד הבריאות/מ.לבריאות הנפש ב""ש",500107024,הצדיק מירושלים,2,באר שבע,8461144
government_office,משרד הבריאות/מרכז רפואי אסף הרופ,500107057,,,באר יעקב,7030000
government_office,משרד הבריאות/מרכז רפואי ברזילי,500104807,ההסתדרות,3,אשקלון,7827804
government_office,משרד הבריאות/מ' בריאות הנפש מזור,500106976,ד.נ. אשרת,,עכו,0
government_office,"משרד הבריאות/מ""ר תל-השומר(שיבה)",500106265,דרך לוד,,רמת גן,0
government_office,משרד הבריאות/שירותי בריאות הנפש,500100938,בן טבאי,2,ירושלים,9359102
government_office,משרד ההסברה והתפוצות/מרכז ההסברה,500101589,כנפי נשרים,15,ירושלים,9546427
government_office,משרד החוץ/אגף אירופה המזרחית,500101092,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף אירופה המערבית,500101084,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף אמריקה הלטינית,500101118,"הקריה, רוממה",,ירושלים,0
government_office,"משרד החוץ/אגף אסיה, אפריקה ואוקי",500101126,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף המזרח התיכון,500101134,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף המינהל,500101274,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף המפקח הכללי,500101266,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף הסברה,500101175,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/אגף צפון אמריקה ופירוק,500101100,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/האגף המשפטי,500101183,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/האגף לארגונים בינלאומי,500101159,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/האגף לכלכלה,500101167,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/היחידה לכנסיות,500101241,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/המחלקה הקונסולרית,500101225,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/המחלקה לענייני תפוצות,500101217,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/המרכז למחקר ותכנון מדי,500101142,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/המשרד הראשי,500101076,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/חטיבה לשיתוף פעולה בינ,500101209,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/חטיבת קשרי תרבות ומדע,500101191,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/חשבות,500105564,שד' יצחק רבין,9,ירושלים,9195000
government_office,משרד החוץ/מחלקת הטקס,500101233,"הקריה, רוממה",,ירושלים,0
government_office,משרד החוץ/מרכז המצב,500101258,"הקריה, רוממה",,ירושלים,0
